Source,Number,In DB,In Checklist
archiv,48130,,
BGU 1,95040,,
BGU 10,7513,,
BGU 11,46036,,
BGU 11,47013,,
BGU 12,8328,,
BGU 13,8779,,
BGU 14,9410,,
BGU 15,10276,,
BGU 16,13861,,
BGU 17,16619,,
BGU 18.1,16165,,
BGU 19,18710,,
BGU 2,95043,,
BGU 20,95275,,
BGU 3,95044,,
BGU 4,95045,,
BGU 5,3315,,
BGU 5.1,95046,,
BGU 6,95047,,
BGU 7,95048,,
BGU 8,3169,,
BGU 9,3633,,
BKT 1,95049,,
BKT 10,81824,,
BKT 2,95050,,
BKT 2,95256,,
BKT 3,95051,,
BKT 4,95052,,
BKT 5.1,95253,,
BKT 5.2,95254,,
BKT 6,95053,,
BKT 7,95054,,
BKT 8,3904,,
BKT 9,14433,,
BKU 1,95055,,
BKU 2,95056,,
BKU 3,95042,,
C.Gloss.Biling. 1,10242,,
C.Gloss.Biling. 2,16521,,
C.Illum.Pap. 1,12796,,
C.Ord.Ptol.,6579,,
CPR 1,95057,,
CPR 10,11072,,
CPR 12,95041,,
CPR 13,11274,,
CPR 14,11759,,
CPR 15,12212,,
CPR 16,95058,,
CPR 17A,12599,,
CPR 17B,12560,,
CPR 18,12469,,
CPR 19,18092,,
CPR 2,95059,,
CPR 20,95060,,
CPR 21,95061,,
CPR 22,16831,,
CPR 23,17261,,
CPR 24,17079,,
CPR 25,19306,,
CPR 26,95062,,
CPR 27,95063,,
CPR 28,20504,,
CPR 29,21315,,
CPR 3,95064,,
CPR 30,21293,,
CPR 31,21383,,
CPR 32,81039,,
CPR 4,95065,,
CPR 6,9105,,
CPR 6,57217,,
CPR 7,9385,,
CPR 8,10333,,
CPR 9,10446,,
MPER N.S. 13,9672,,
MPER N.S. 17,13367,,
MPER N.S. 31,20408,,
MPER N.S. 4,4258,,
O.AbuMina,20517,,
O.Amst.,8755,,
O.Ashm.,95339,,
O.Ashm.Copt.,95323,,
O.Ashm.Shelt.,11617,,
O.Bankes,95295,,
O.Bawit,15676,,
O.BawitIFAO,17875,,
O.Berenike 1,68842,,
O.Berenike 2,18436,,
O.Berenike 3,95296,,
O.Bodl. 1,95300,,
O.Bodl. 2,5277,,
O.Bodl. 3,6639,,
O.Brit.Mus.Copt. 1,95312,,
O.Brux.,8964,,
O.Buch.,3272,,
O.BuNjem,12883,,
O.Cair.,11011,,
O.Cair.Cat.,10358,,
O.Cair.Monuments,95301,,
O.Camb.,95337,,
O.Chic.Muhs,18748,,
O.Claud. 1,12673,,
O.Claud. 2,14684,,
O.Claud. 3,15951,,
O.Claud. 4,20700,,
O.Cret.Chers.,20518,,
O.Crum,95299,,
O.CrumST,95302,,
O.CrumVC,95316,,
O.Deir el-Bahari,95317,,
O.Deiss,95209,,
O.Did.,81797,,
O.Dime,95066,,
O.Douch 1,10980,,
O.Douch 2,11447,,
O.Douch 3,12727,,
O.Douch 4,15849,,
O.Douch 5,16707,,
O.Edfou 1,95332,,
O.Edfou 2,95333,,
O.Edfou 3,95334,,
O.EdfouIFAO,21024,,
O.Elkab,11701,,
O.Erem.,95318,,
O.Fay,95314,,
O.Florida,8753,,
O.Frangé,21498,,
O.Heid.,18426,,
O.Hor,8888,,
O.Joach.,95319,,
O.Kellis,18379,,
O.Krok. 1,18535,,
O.Leid.,9394,,
O.Leid.Dem.,95321,,
O.Lips. 1,95327,,
O.Lips.Copt.,95320,,
O.Louvre 1,95324,,
O.Lund.,9371,,
O.Magnien,95325,,
O.Masada,95313,,
O.Mattha,95305,,
O.Medin.HabuCopt.,95304,,
O.Medin.HabuDem.,95303,,
O.Medin.Madi,8781,,
O.Métrologie,95322,,
O.Mich. 1,3335,,
O.Mich. 2,95335,,
O.Mich. 3,95336,,
O.Mich. 4,51150,,
O.Mich.Copt.,95328,,
O.Mich.Copt.Etmoulon,95329,,
O.Minor,95338,,
O.Mon.Phoib.,6772,,
O.Muhs,14493,,
O.Nancy,95331,,
O.Narm. 1,13309,,
O.Narm.Dem. 1,10361,,
O.Narm.Dem. 2,14778,,
O.Narm.Dem. 3,18732,,
O.Oasis,11376,,
O.Ont.Mus. 1,7745,,
O.Ont.Mus. 2,8754,,
O.Oslo,3109,,
O.Paris,95330,,
O.Petr.,95340,,
O.Petr.Mus.,82190,,
O.Quseir,95311,,
O.ROM 1,7745,,
O.ROM 2,8754,,
O.Saint-Marc,95326,,
O.Stras. 1,95308,,
O.Stras. 2,20775,,
O.Taxes,79299,,
O.Tebt.Pad. 1,9261,,
O.Tempeleide,95309,,
O.Theb.,95306,,
O.Trim. 1,80208,,
O.Trim. 2,95297,,
O.Vind.Copt.,95310,,
O.Vleem.,13789,,
O.WadiHamm.,63166,,
O.Wångstedt,95315,,
O.Waqfa,13115,,
O.Wilb.,3401,,
O.Wilck.,7585,,
O.Zauzich,95341,,
O.Zürich,6802,,
P. Med. 1,6859,,
P. Vindob. Worp,7976,,
P.Aberd.,3909,,
P.Abinn.,6212,,
P.Achm.,95067,,
P.Ackerpacht.,95068,,
P.Adl.,3824,,
P.ÄkNo.,95291,,
P.Alex.,6638,,
P.Alex.Giss.,7386,,
P.Amh. 1,95069,,
P.Amh. 2,95070,,
P.Amh.Eg.,95071,,
P.Ammon 1,15468,,
P.Ammon 2,19265,,
P.Amst. 1,9528,,
P.Anag.,95072,,
P.Ant. 1,4632,,
P.Ant. 2,5936,,
P.Ant. 3,7037,,
P.Aphrod.Lit.,15601,,
P.Apoll.,5019,,
P.Ashm. 1,8064,,
P.Assoc.,52117,,
P.Athen.,3892,,
P.Athen.Xyla,13252,,
P.Aust.Herr.,11794,,
P.Auswahl,95073,,
P.Bad. 1,95074,,
P.Bad. 2,95075,,
P.Bad. 3,95076,,
P.Bad. 4,95077,,
P.Bad. 5,3200,,
P.Bad. 6,3721,,
P.Bagnall,95252,,
P.Bal.,5126,,
P.Bas.,95078,,
P.Batav.,9062,,
P.Bawit Clackson,20349,,
P.Beatty 1,3140,,
P.Beatty 1,3141,,
P.Beatty 3,3488,,
P.Beatty 3.1,3244,,
P.Beatty 3.2,3487,,
P.Beatty 4,3245,,
P.Beatty 5,3377,,
P.Beatty 6,3627,,
P.Beatty 7,3747,,
P.Beatty 8,4023,,
P.Benaki,16122,,
P.Berl.Bibl.,95079,,
P.Berl.Bork.,8469,,
P.Berl.Brash.,7994,,
P.Berl.Cohen,19568,,
P.Berl.Dem. 1,56189,,
P.Berl.Dem. 2,9666,,
P.Berl.Frisk,95080,,
P.Berl.Leihg. 1,3046,,
P.Berl.Leihg. 2,9038,,
P.Berl.Möller,95081,,
P.Berl.Salmen.,17122,,
P.Berl.Sarisch.,14174,,
P.Berl.Schmidt,95082,,
P.Berl.Spieg.,95083,,
P.Berl.Thun.,95084,,
P.Berl.Zill.,4056,,
P.Bingen,16093,,
P.Bodl. 1,14543,,
P.Bodm. 1,5142,,
P.Bodm. 10-12,5915,,
P.Bodm. 13,6035,,
P.Bodm. 14-15,6131,,
P.Bodm. 16,95085,,
P.Bodm. 17,6117,,
P.Bodm. 18,95086,,
P.Bodm. 19,95087,,
P.Bodm. 2,5409,,
P.Bodm. 20,6589,,
P.Bodm. 21,95088,,
P.Bodm. 22,95089,,
P.Bodm. 23,95090,,
P.Bodm. 24,7078,,
P.Bodm. 25,7338,,
P.Bodm. 26,7339,,
P.Bodm. 27,50542,,
P.Bodm. 28,51735,,
P.Bodm. 29,10517,,
P.Bodm. 3,95091,,
P.Bodm. 30-37,15608,,
P.Bodm. 38,12366,,
P.Bodm. 4,5722,,
P.Bodm. 45-46,54186,,
P.Bodm. 48,60686,,
P.Bodm. 49,57904,,
P.Bodm. 5,5747,,
P.Bodm. 50,61091,,
P.Bodm. 51,67402,,
P.Bodm. 52,67011,,
P.Bodm. 6,95092,,
P.Bodm. 7-9,5914,,
P.Bon.,5001,,
P.Bour.,95093,,
P.Brem.,3557,,
P.Brit.Mus. 1,95094,,
P.Brit.Mus. 2.1,95095,,
P.Brit.Mus. 3,95096,,
P.Brit.Mus. 4,11956,,
P.Brit.Mus.Reich,95097,,
P.Brookl.,12969,,
P.Brookl.Dem.,18639,,
P.Brookl.Pierce,7928,,
P.Brux. 1,8344,,
P.Brux. 2,12448,,
P.Brux.Bawit,19587,,
P.Brux.Dem.,95098,,
P.Bub. 1,12037,,
P.Bub. 2,15250,,
P.Bürgsch.,95099,,
P.Cair. 1,95101,,
P.Cair. 2,95102,,
P.Cair. 3,95103,,
P.Cair.Cat.,95104,,
P.Cair.Goodsp.,95105,,
P.Cair.Isid.,5941,,
P.Cair.Masp. 1,95106,,
P.Cair.Masp. 2,95107,,
P.Cair.Masp. 3,95108,,
P.Cair.Mich.,8657,,
P.Cair.Mich. 2,95284,,
P.Cair.Preis.,95109,,
P.Cair.Preis. (2nd ed.),95276,,
P.Cair.Salem,19344,,
P.Cair.Zen. 1,95110,,
P.Cair.Zen. 2,95111,,
P.Cair.Zen. 3,95112,,
P.Cair.Zen. 4,95113,,
P.Cair.Zen. 5,3949,,
P.Carlsb. 1,95114,,
P.Carlsb. 2,95115,,
P.Carlsb. 3,95116,,
P.Carlsb. 4,95117,,
P.Carlsb. 5,95118,,
P.Carlsb. 6,95119,,
P.Carlsb. 7,95120,,
P.Carlsb. 8,95121,,
P.Carlsb. 9,95122,,
P.CattleDocs.,95123,,
P.Charite,9563,,
P.Chept.,45271,,
P.Chic.,95124,,
P.Chic.Haw.,14818,,
P.Choach.Survey,13305,,
P.Choix 1,95125,,
P.Choix 2,95126,,
P.Chrest.Nouvelle,95127,,
P.Chrest.Revillout,95128,,
P.Chronik,95129,,
P.Clackson,20696,,
P.CLT,95100,,
P.Col. 1,95130,,
P.Col. 10,14327,,
P.Col. 11,15442,,
P.Col. 2,3104,,
P.Col. 3,3324,,
P.Col. 4,4003,,
P.Col. 5,5337,,
P.Col. 6,5179,,
P.Col. 7,9204,,
P.Col. 8,11957,,
P.Col. 9,15432,,
P.Coles,95290,,
P.Coll.Youtie,8824,,
P.Coll.Youtie,8825,,
P.Congr.XV,9213,,
P.Corn.,95131,,
